rank,country,confederation,market_value,market_value_eur
154,Turkmenistan,AFC,€2.95m,2950000
155,Ethiopia,CAF,€2.75m,2750000
156,Republic of the Congo,CAF,€2.65m,2650000
157,Cuba,CONCACAF,€2.60m,2600000
158,Cambodia,AFC,€2.58m,2580000
159,Fiji,OFC,€2.45m,2450000
160,Yemen,AFC,€2.18m,2180000
161,Namibia,CAF,€2.08m,2080000
162,Malawi,CAF,€2.05m,2050000
163,Chinese Taipei,AFC,€1.92m,1920000
164,Gibraltar,UEFA,€1.81m,1810000
165,Grenada,CONCACAF,€1.75m,1750000
166,South Sudan,CAF,€1.60m,1600000
167,Guyana,CONCACAF,€1.50m,1500000
168,Mozambique,CAF,€1.48m,1480000
169,São Tomé and Príncipe,CAF,€1.43m,1430000
170,Nepal,AFC,€1.35m,1350000
171,Laos,,€1.32m,1320000
172,San Marino,UEFA,€1.15m,1150000
173,Eswatini,CAF,€1.08m,1080000
174,Seychelles,CAF,€1.03m,1030000
175,Afghanistan,AFC,€1.03m,1030000
176,Sri Lanka,AFC,€910k,910000
177,Puerto Rico,CONCACAF,€825k,825000
178,Mauritius,CAF,€800k,800000
179,Bhutan,AFC,€780k,780000
180,Somalia,CAF,€760k,760000
181,Brunei Darussalam,AFC,€750k,750000
182,Timor-Leste,AFC,€735k,735000
183,Maldives,AFC,€675k,675000
184,Antigua and Barbuda,CONCACAF,€650k,650000
185,Liechtenstein,UEFA,€625k,625000
186,Lesotho,CAF,€575k,575000
187,Djibouti,CAF,€575k,575000
188,Saint Kitts and Nevis,CONCACAF,€575k,575000
189,Vanuatu,OFC,€535k,535000
190,Mongolia,AFC,€510k,510000
191,Saint Vincent and the Grenadines,CONCACAF,€475k,475000
192,Solomon Islands,OFC,€450k,450000
193,Sint Maarten,CONCACAF,€425k,425000
194,Bonaire,CONCACAF,€400k,400000
195,Bermuda,CONCACAF,€375k,375000
196,Montserrat,CONCACAF,€375k,375000
197,Belize,CONCACAF,€350k,350000
198,Macau,AFC,€335k,335000
199,Saint Lucia,CONCACAF,€250k,250000
200,Guam,AFC,€240k,240000
201,Samoa,OFC,€225k,225000
202,Barbados,CONCACAF,€200k,200000
203,Aruba,CONCACAF,€175k,175000
204,United States Virgin Islands,CONCACAF,€125k,125000
205,French Guiana,CONCACAF,€125k,125000
206,Cook Islands,OFC,€110k,110000
207,Tahiti,OFC,€60k,60000
208,Turks and Caicos Islands,CONCACAF,€50k,50000
209,Tonga,OFC,€10k,10000
210,Papua New Guinea,OFC,-,
211,Bahamas,CONCACAF,-,
212,Dominica,CONCACAF,-,
213,East Germany,previous teams,-,
214,Czechoslovakia (-1993),previous teams,-,
215,Soviet Union (-1991),previous teams,-,
216,Yugoslavia,previous teams,-,
217,American Samoa,OFC,-,
218,Anguilla,CONCACAF,-,
219,British Virgin Islands,CONCACAF,-,
220,Cayman Islands,CONCACAF,-,
221,Netherlands Antilles,previous teams,-,
222,Greenland,Non-FIFA members,-,
223,Kiribati,OFC,-,
224,Micronesia,Non-FIFA members,-,
225,Monaco,UEFA,-,
226,Réunion,CAF,-,
227,Zanzibar,CAF,-,
228,Tuvalu,OFC,-,
229,Christmas Island,previous teams,-,
230,Serbia and Montenegro,previous teams,-,
231,Nauru,Non-FIFA members,-,
232,Palau,Non-FIFA members,-,
233,Zaire,previous teams,-,
234,Dutch East Indies,previous teams,-,
235,Marshall Islands,Non-FIFA members,-,
236,Northern Mariana Islands,AFC,-,
237,Niue,OFC,-,
238,Saar,previous teams,-,
239,Saint-Martin,CONCACAF,-,
240,Great Britain,previous teams,-,
241,South Vietnam (-1976),AFC,-,
242,Rhodesia,CAF,-,
243,South Yemen,AFC,-,
244,British India,previous teams,-,
245,Northern Rhodesia,CAF,-,
246,North Vietnam (-1976),AFC,-,
247,Mayotte,,-,
248,Rwanda U23,CAF,-,
